0	5
0	19
0	24
1	13
1	28
1	38
1	42
1	48
2	9
2	10
2	16
2	23
2	34
2	38
3	14
3	18
3	30
3	33
4	1
4	7
4	13
4	19
4	21
4	25
4	26
4	27
4	29
4	38
4	39
5	17
5	22
5	30
6	7
6	16
6	47
7	1
7	2
7	14
7	19
7	22
7	25
7	41
7	43
7	47
7	49
8	2
8	5
8	16
8	24
8	33
8	37
9	0
9	2
9	4
9	27
9	30
9	36
10	13
10	25
10	27
10	30
10	33
10	39
11	2
11	16
11	24
11	49
12	17
12	28
12	41
13	17
13	36
14	8
14	10
14	19
14	20
14	34
14	38
15	4
15	12
15	21
15	25
15	28
15	33
15	42
15	46
16	8
16	14
16	47
17	20
17	22
17	35
17	38
18	6
18	20
18	31
18	41
18	47
19	7
19	12
19	13
19	39
20	4
20	11
20	45
21	0
21	6
21	15
21	20
21	25
22	7
22	20
22	30
22	35
22	40
22	43
23	2
23	4
23	19
24	0
24	4
24	14
24	18
24	20
24	27
24	28
25	6
25	17
25	28
25	44
25	45
25	48
26	10
26	21
26	22
26	27
26	43
27	1
27	7
27	13
27	17
28	8
28	25
28	29
28	49
29	27
29	35
29	42
29	43
30	0
30	4
30	9
30	28
30	41
30	48
31	18
31	32
32	1
32	4
32	14
32	15
32	35
32	36
33	10
33	36
33	40
34	18
34	37
35	5
35	7
35	13
35	34
35	45
36	15
36	17
36	30
36	38
36	41
37	21
37	46
38	3
38	22
38	37
38	40
39	20
39	35
39	36
39	38
39	41
40	0
40	14
40	29
40	30
40	42
41	1
41	9
41	12
41	14
41	28
41	30
41	36
41	45
41	48
42	2
42	5
42	10
42	11
42	14
42	47
42	48
43	3
43	16
43	23
43	35
43	36
43	37
43	38
44	10
44	15
44	48
45	1
45	35
45	43
45	44
45	46
46	9
46	11
46	19
46	26
46	39
46	45
47	3
47	27
47	28
47	41
47	49
48	1
48	2
48	12
48	14
48	15
48	16
48	17
48	28
48	35
48	46
49	5
49	14
49	26
49	31
49	34
49	42
